需求单号,SKU,WSKU,SKU名称,品类,开发人员,首次下单,供应商编号,供应商简称,采购数量,采购成本（CNY）,是否现货,状态,采购人员,采购单号,合同编号,推送时间,确认交期,交货日期,采购类型,预计货好时间,合同期望交付时间,未调拨数量,未入库数量,跟单说明,延期分类,延期原因,单据状态
SPO20260715000555,DJ505135_2_WF,DJ505135_2_WF,US SD 1.6米单人升降桌带文件柜  一件两箱  颜色->黑麻+棕色,DJ01-郑州大件\非Amazon项目6组-第二曲线-US\办公-电脑桌Desks,徐振北,否,SUP23081400033,GZPFK,190,732.00,否,,赵彩,,,2026-07-15 04:56:22,,,大货,,2026-09-27,0,0,,,,待入库
SPO20260715000554,DJ505135_1_WF,DJ505135_1_WF,US SD 1.6米单人升降桌带文件柜  一件两箱 颜色->白麻+棕色,DJ01-郑州大件\非Amazon项目6组-第二曲线-US\办公-电脑桌Desks,徐振北,否,SUP23081400033,GZPFK,270,732.00,否,,赵彩,,,2026-07-15 04:56:22,,,大货,,2026-09-27,0,0,,,,待入库
SPO20260715000553,SFDJ505135_2,DJ505135_2,US SD 1.6米单人升降桌带文件柜  一件两箱  颜色->黑麻+棕色,DJ01-郑州大件\品牌独立站项目6组-第二曲线\办公-电脑桌Desks,徐振北,否,SUP23081400033,GZPFK,30,732.00,否,,赵彩,,,2026-07-15 04:56:22,,,大货,,2026-09-27,0,0,,,,待入库
SPO20260715000552,SFDJ505135_1,DJ505135_1,US SD 1.6米单人升降桌带文件柜  一件两箱 颜色->白麻+棕色,DJ01-郑州大件\品牌独立站项目6组-第二曲线\办公-电脑桌Desks,徐振北,否,SUP23081400033,GZPFK,50,732.00,否,,赵彩,,,2026-07-15 04:56:22,,,大货,,2026-09-27,0,0,,,,待入库
SPO20260715000551,DJ505135_2,DJ505135_2,US SD 1.6米单人升降桌带文件柜  一件两箱  颜色->黑麻+棕色,DJ01-郑州大件\Amazon项目6组-第二曲线-US\办公-电脑桌Desks,徐振北,否,SUP23081400033,GZPFK,820,732.00,否,,赵彩,,,2026-07-15 04:56:22,,,大货,,2026-09-27,0,0,,,,待入库
SPO20260715000550,DJ505135_1,DJ505135_1,US SD 1.6米单人升降桌带文件柜  一件两箱 颜色->白麻+棕色,DJ01-郑州大件\Amazon项目6组-第二曲线-US\办公-电脑桌Desks,徐振北,否,SUP23081400033,GZPFK,820,732.00,否,,赵彩,,,2026-07-15 04:56:22,,,大货,,2026-09-27,0,0,,,,待入库
SPO20260715000549,DJ504073_3_WM,DJ504073_3_WM,US L型桌带X字抽储物文件柜  一件一箱   颜色->黑+白,DJ01-郑州大件\非Amazon项目6组-第二曲线-US\办公-电脑桌Desks,徐振北,否,SUP23081400033,GZPFK,30,345.00,否,,赵彩,,,2026-07-15 04:56:23,,,大货,,2026-09-23,0,0,,,,待入库
SPO20260715000548,DJ504073_2_WM,DJ504073_2_WM,US L型桌带X字抽储物文件柜  一件一箱   颜色->橡木棕+黑,DJ01-郑州大件\非Amazon项目6组-第二曲线-US\办公-电脑桌Desks,徐振北,否,SUP23081400033,GZPFK,30,345.00,否,,赵彩,,,2026-07-15 04:56:23,,,大货,,2026-09-23,0,0,,,,待入库
SPO20260715000547,DJ504073_1_WM,DJ504073_1_WM,US L型桌带X字抽储物文件柜  一件一箱   颜色->橡木棕+白,DJ01-郑州大件\非Amazon项目6组-第二曲线-US\办公-电脑桌Desks,徐振北,否,SUP23081400033,GZPFK,80,345.00,否,,赵彩,,,2026-07-15 04:56:23,,,大货,,2026-09-23,0,0,,,,待入库
SPO20260715000546,DJ504073_3_WF,DJ504073_3_WF,US L型桌带X字抽储物文件柜  一件一箱   颜色->黑+白,DJ01-郑州大件\非Amazon项目6组-第二曲线-US\办公-电脑桌Desks,徐振北,否,SUP23081400033,GZPFK,80,345.00,否,,赵彩,,,2026-07-15 04:56:23,,,大货,,2026-09-23,0,0,,,,待入库
SPO20260715000545,DJ504073_2_WF,DJ504073_2_WF,US L型桌带X字抽储物文件柜  一件一箱   颜色->橡木棕+黑,DJ01-郑州大件\非Amazon项目6组-第二曲线-US\办公-电脑桌Desks,徐振北,否,SUP23081400033,GZPFK,200,345.00,否,,赵彩,,,2026-07-15 04:56:23,,,大货,,2026-09-23,0,0,,,,待入库
SPO20260715000544,DJ504073_1_WF,DJ504073_1_WF,US L型桌带X字抽储物文件柜  一件一箱   颜色->橡木棕+白,DJ01-郑州大件\非Amazon项目6组-第二曲线-US\办公-电脑桌Desks,徐振北,否,SUP23081400033,GZPFK,200,345.00,否,,赵彩,,,2026-07-15 04:56:23,,,大货,,2026-09-23,0,0,,,,待入库
SPO20260715000543,DJ504073_3,DJ504073_3,US L型桌带X字抽储物文件柜  一件一箱   颜色->黑+白,DJ01-郑州大件\Amazon项目6组-第一曲线-US\办公-电脑桌Desks,徐振北,否,SUP23081400033,GZPFK,100,345.00,否,,赵彩,,,2026-07-15 04:56:23,,,大货,,2026-09-23,0,0,,,,待入库
SPO20260715000542,DJ504073_2,DJ504073_2,US L型桌带X字抽储物文件柜  一件一箱   颜色->橡木棕+黑,DJ01-郑州大件\Amazon项目6组-第一曲线-US\办公-电脑桌Desks,徐振北,否,SUP23081400033,GZPFK,200,345.00,否,,赵彩,,,2026-07-15 04:56:23,,,大货,,2026-09-23,0,0,,,,待入库
SPO20260715000541,DJ504073_1,DJ504073_1,US L型桌带X字抽储物文件柜  一件一箱   颜色->橡木棕+白,DJ01-郑州大件\Amazon项目6组-第一曲线-US\办公-电脑桌Desks,徐振北,否,SUP23081400033,GZPFK,290,345.00,否,,赵彩,,,2026-07-15 04:56:23,,,大货,,2026-09-23,0,0,,,,待入库
SPO20260715000540,DJ502988_4,DJ502988_4,US SD L桌带两层网书架 一件一箱 颜色->火烧云,DJ01-郑州大件\Amazon项目6组-第一曲线-US\办公-电脑桌Desks,徐振北,否,SUP23081400033,GZPFK,400,320.00,否,,赵彩,,,2026-07-15 04:56:23,,,大货,,2026-09-22,0,0,,,,待入库
SPO20260715000539,DJ502988_2,DJ502988_2,US SD L桌带两层网书架 一件一箱 颜色->黑色,DJ01-郑州大件\Amazon项目6组-第一曲线-US\办公-电脑桌Desks,徐振北,否,SUP23081400033,GZPFK,220,320.00,否,,赵彩,,,2026-07-15 04:56:23,,,大货,,2026-09-22,0,0,,,,待入库
SPO20260715000538,DJ502988_1,DJ502988_1,US SD L桌带两层网书架 一件一箱 颜色->白色,DJ01-郑州大件\Amazon项目6组-第一曲线-US\办公-电脑桌Desks,徐振北,否,SUP23081400033,GZPFK,330,320.00,否,,赵彩,,,2026-07-15 04:56:23,,,大货,,2026-09-22,0,0,,,,待入库
SPO20260715000537,SFDJ505121_2,DJ505121_2,US 铣槽移动柜行政桌 一件两箱 颜色->989-3+黑麻,DJ01-郑州大件\品牌独立站项目6组-第二曲线\办公-电脑桌Desks,钱硕文,否,SUP23081400033,GZPFK,30,480.00,否,,赵彩,,,2026-07-15 04:56:24,,,大货,,2026-09-21,0,0,,,,待入库
SPO20260715000536,SFDJ505121_1,DJ505121_1,US 铣槽移动柜行政桌 一件两箱 颜色->火烧云+黑麻,DJ01-郑州大件\品牌独立站项目6组-第二曲线\办公-电脑桌Desks,钱硕文,否,SUP23081400033,GZPFK,50,480.00,否,,赵彩,,,2026-07-15 04:56:24,,,大货,,2026-09-21,0,0,,,,待入库
SPO20260715000535,DJ505121_4,DJ505121_4,US 铣槽移动柜行政桌 一件两箱 颜色->棕+白麻,DJ01-郑州大件\Amazon项目6组-第二曲线-US\办公-电脑桌Desks,钱硕文,否,SUP23081400033,GZPFK,200,480.00,否,,赵彩,,,2026-07-15 04:56:24,,,大货,,2026-09-21,0,0,,,,待入库
SPO20260715000534,DJ505121_3,DJ505121_3,US 铣槽移动柜行政桌 一件两箱 颜色->棕+黑麻,DJ01-郑州大件\Amazon项目6组-第二曲线-US\办公-电脑桌Desks,钱硕文,否,SUP23081400033,GZPFK,300,480.00,否,,赵彩,,,2026-07-15 04:56:24,,,大货,,2026-09-21,0,0,,,,待入库
SPO20260715000533,DJ505121_2,DJ505121_2,US 铣槽移动柜行政桌 一件两箱 颜色->989-3+黑麻,DJ01-郑州大件\Amazon项目6组-第二曲线-US\办公-电脑桌Desks,钱硕文,否,SUP23081400033,GZPFK,320,480.00,否,,赵彩,,,2026-07-15 04:56:24,,,大货,,2026-09-21,0,0,,,,待入库
