sku_code,sku_name,station,platform,abcd,profile_segment,blend_daily,system_daily,blend_monthly,system_monthly,actual_monthly,actual_daily,error_daily,ape,kpi_comparable,version_no
100102901,US TA 1.5米口子农舍推拉零食柜 一件两箱 颜色->灰古木-40三胺,ALL,AMAZON,D,T4B,0.5214,0.2503,16.16,7.76,47,1.5161,-1.2658,0.8349,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
100102902,US TA 1.5米口子农舍推拉零食柜 一件两箱 颜色->白+棕,ALL,AMAZON,D,T4B,0.9071,0.4354,28.12,13.50,0,0.0000,0.4354,,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
100102903,US TA 1.5米口子农舍推拉零食柜 一件两箱 颜色->黑+棕,ALL,AMAZON,D,T4B,0.7929,0.3806,24.58,11.80,32,1.0323,-0.6517,0.6313,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
100102904,US TA 1.5米口子农舍推拉零食柜 一件两箱 颜色->黑+卡罗橡木黄,ALL,AMAZON,D,T4B,0.7857,0.3771,24.36,11.69,13,0.4194,-0.0423,0.1008,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
100103604,US DC 铁木床 CBF-02GL 方管铁木角落床带抽篮-113G Q 黑 一件一箱,ALL,AMAZON,C,T4B,1.2143,0.5829,37.64,18.07,114,3.6774,-3.0945,0.8415,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
100103702,US DC 铁木床 CBF-02GL 方管铁木角落床带抽篮-113G TXL 白 一件一箱,ALL,AMAZON,D,T4B,0.2143,0.1029,6.64,3.19,37,1.1935,-1.0906,0.9138,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
100103804,US DC 铁木床 CBF-02GL 方管铁木角落床带抽篮-113G Q 灰 一件一箱,ALL,AMAZON,D,T4B,0.5786,0.2777,17.94,8.61,105,3.3871,-3.1094,0.9180,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
100103901,US DC 铁木床 CBF-02GL 方管铁木角落床带抽篮-113G T 粉 一件一箱,ALL,AMAZON,D,T4B,0.3929,0.1886,12.18,5.85,78,2.5161,-2.3275,0.9250,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ453277_1,US VD 竹制浴室柜 单门+1层架 原色 一件一箱,ALL,AMAZON,C,T3,4.1486,4.2080,128.61,130.45,126,4.0645,0.1435,0.0353,t,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ454146_2,US TP 折叠餐桌  方形玄关桌  一件一箱 颜色->YZ6630+寿光暖白（小麻）,ALL,AMAZON,C,T4B,0.9042,0.3689,28.03,11.44,60,1.9355,-1.5666,0.8094,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
