sku_code,sku_name,station,platform,abcd,profile_segment,blend_daily,system_daily,effective_daily,blend_monthly,system_monthly,effective_monthly,actual_monthly,actual_daily,version_no,version_status
100100301,US HS 餐边柜 BSCS-03改 矮款四柜门一抽屉带插排 黑色 一件一箱,ALL,AMAZON,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,2,0.0645,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
100100302,US HS 餐边柜 BSCS-03改 矮款四柜门一抽屉带插排 白+胡桃 一件一箱,ALL,AMAZON,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,6,0.1935,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
100101501,US VD 上下铺带拖床 布抽楼梯床 一件两箱 颜色->灰橡木,ALL,AMAZON,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,22,0.7097,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
100101502,US VD 上下铺带拖床 布抽楼梯床 一件两箱 颜色->火烧云,ALL,AMAZON,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,51,1.6452,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
100102602,US TA 1.2拓1.6米铁木软包餐桌椅套装 一件一箱 颜色->胡桃色,ALL,AMAZON,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,137,4.4194,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
100102901,US TA 1.5米口子农舍推拉零食柜 一件两箱 颜色->灰古木-40三胺,ALL,AMAZON,D,T4B,0.5214,0.2503,0.2503,16.16,7.76,7.76,47,1.5161,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
100102901,US TA 1.5米口子农舍推拉零食柜 一件两箱 颜色->灰古木-40三胺,ALL,TEMU,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,0,0.0000,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
100102901,US TA 1.5米口子农舍推拉零食柜 一件两箱 颜色->灰古木-40三胺,ALL,UNKNOWN,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,0,0.0000,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
100102901,US TA 1.5米口子农舍推拉零食柜 一件两箱 颜色->灰古木-40三胺,ALL,WALMART,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,0,0.0000,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
100102902,US TA 1.5米口子农舍推拉零食柜 一件两箱 颜色->白+棕,ALL,AMAZON,D,T4B,0.9071,0.4354,0.4354,28.12,13.50,13.50,0,0.0000,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
100102902,US TA 1.5米口子农舍推拉零食柜 一件两箱 颜色->白+棕,ALL,TEMU,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,0,0.0000,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
