SKU编码,SKU名称,站点,平台,ABCD类,分层,混合水平月销量,系统预测月销量,实际月销量,偏差数量,偏差率,绝对偏差率APE
DJ502530_2,US AE 书柜 三抽带储物空间加灯带插排 颜色->黑色,ALL,AMAZON,A,T1,2401.54,1873.20,1822,51.20,0.0281,0.0281
SKDJ502530_2,US AE 书柜 三抽带储物空间加灯带插排 颜色->黑色,ALL,TIKTOK,C,T3P,1360.27,1303.43,1626,-322.57,-0.1984,0.1984
DJ502952_1,US SD 23款L桌高桌 一件一箱 颜色->黑色,ALL,AMAZON,A,T1,884.08,689.59,745,-55.41,-0.0744,0.0744
SKDJVN000014_3,"US AE 书柜(Vietnam) 3抽屉 带插排小台款（大款）加RGB灯带 颜色->#2,黑色麻面",ALL,TIKTOK,C,T3P,548.25,466.01,674,-207.99,-0.3086,0.3086
DJ502530_1,US AE 书柜 三抽带储物空间加灯带插排 颜色->白色,ALL,AMAZON,B,T1,839.86,655.09,616,39.09,0.0635,0.0635
DJ503905_1,US AG 高款板式三抽边桌 灯带+排插 一件一箱 颜色->黑色,ALL,AMAZON,A,T2,579.64,420.07,555,-134.93,-0.2431,0.2431
DJ503733_3,US DC 铁木床 CBF-01L 方管软包角落床带抽篮-112 灰 F 一件一箱,ALL,AMAZON,A,T2,552.73,400.57,550,-149.43,-0.2717,0.2717
DJ505226_2,US 595款 F尺寸上床下桌6抽U形桌面带灯带插排 一件两箱 颜色->白色,ALL,AMAZON,A,T1,522.57,407.61,539,-131.39,-0.2438,0.2438
DJ502530_1,US AE 书柜 三抽带储物空间加灯带插排 颜色->白色,ALL,TIKTOK,B,T4B,13.10,7.04,515,-507.96,-0.9863,0.9863
DJ503441_2,US PT 正方形升降谷仓咖啡桌 颜色->黑麻+火烧云,ALL,AMAZON,A,T1,615.07,506.33,509,-2.67,-0.0052,0.0052
DJ505534_2,US SD L桌五抽带两组亚克力门  一件一箱 颜色->黑麻,ALL,AMAZON,A,T4B,313.15,168.35,498,-329.65,-0.6620,0.6620
DJ505323_2,US 床GSI-005T带步梯双层2抽+6布抽床含灯带99*190一件两箱黑铁+黑山纹板,ALL,AMAZON,A,T3,262.76,236.49,486,-249.51,-0.5134,0.5134
DJ503733_1,US DC 铁木床 CBF-01L 方管软包角落床带抽篮-112 T 一件一箱,ALL,AMAZON,A,T2,480.15,347.97,475,-127.03,-0.2674,0.2674
DJ502512_2,US AE 书柜 3抽屉 带插排小台款（大款） 颜色->黑色,ALL,AMAZON,A,T2,547.78,427.27,463,-35.73,-0.0772,0.0772
DJ505240_1,US 床YW-43T上床下电竞桌3抽储物柜含灯带99*190 一件两箱黑色铁+黑麻板,ALL,AMAZON,A,T2,456.12,330.55,462,-131.45,-0.2845,0.2845
DJ504015_2,US 纯板材三抽双人电脑桌  一件一箱 颜色   橡木棕色（顶板）+白麻（主体）,ALL,AMAZON,A,T2,452.86,328.19,456,-127.81,-0.2803,0.2803
DJ505162_1,US DC 铁木床 CBF-02L 方管铁木角落床带抽篮-113 F 黑 一件两箱,ALL,AMAZON,A,T1,554.43,432.45,452,-19.55,-0.0432,0.0432
DJ505493_3,US 1.15米铁木四门厨房置物架带灯 一件一箱 颜色->火烧云,ALL,TIKTOK,C,T4B,10.85,5.21,416,-410.79,-0.9875,0.9875
DJ505323_3,US 床GSI-005T带步梯双层2抽+6布抽床含灯带99*190一件两箱白铁+白山纹板,ALL,AMAZON,A,T3,291.40,278.00,404,-126.00,-0.3119,0.3119
DJ505117_2,US 1.2米推拉零食柜 一件两箱 颜色->白+棕,ALL,AMAZON,A,T2,319.51,272.41,392,-119.59,-0.3051,0.3051
DJ502512_13,"US AE 书柜 3抽屉 带插排小台款（大款） 颜色->#3,灰木纹色",ALL,AMAZON,A,T2,513.80,400.76,378,22.76,0.0602,0.0602
DJ504017_1,US DC 铁木床 CBF-02L 方管铁木角落床带抽篮-113 T 黑 一件一箱,ALL,AMAZON,A,T2,571.46,445.74,374,71.74,0.1918,0.1918
DJ505806_2,US 1.4米升降桌 一件两箱  颜色->主体黑+顶板棕,ALL,AMAZON,B,T4B,143.93,69.09,364,-294.91,-0.8102,0.8102
DJ503917_3,US 玻璃门L桌高桌带布兜款 一件一箱 颜色->黑色,ALL,AMAZON,B,T2,366.28,265.44,339,-73.56,-0.2170,0.2170
DJ505668_4,US SD L桌带文件抽桌面宽470mm  颜色->989-3灰色,ALL,AMAZON,C,T4B,53.14,25.51,332,-306.49,-0.9232,0.9232
DJ504018_1,US 纯板材X字双抽高文件柜 一件一箱 颜色->白色+棕色,ALL,AMAZON,B,T2,272.20,197.27,325,-127.73,-0.3930,0.3930
DJ505125_1,US 侧面爬梯上床下桌T 一件两箱 颜色->火烧云,ALL,AMAZON,B,T2,308.71,223.72,324,-100.28,-0.3095,0.3095
DJ504019_1,US TA 100*80双抽谷仓门升降咖啡桌 一件一箱 颜色->白+棕,ALL,AMAZON,B,T2,258.75,220.61,323,-102.39,-0.3170,0.3170
DJ505806_1,US 1.4米升降桌 一件两箱  颜色->主体白+顶板棕,ALL,AMAZON,C,T4B,77.50,37.20,318,-280.80,-0.8830,0.8830
DJ502952_3,US SD 23款L桌高桌 一件一箱 颜色->白色,ALL,AMAZON,B,T2,285.46,243.38,317,-73.62,-0.2322,0.2322
DJ505135_1,US SD 1.6米单人升降桌带文件柜  一件两箱 颜色->白麻+棕色,ALL,AMAZON,B,T2,249.36,212.60,314,-101.40,-0.3229,0.3229
DJ505212_1,US DC 铁木床 CBF-08改 铁木储物带尾桌 154 T款 一件两箱  颜色->黑色,ALL,AMAZON,A,T2,338.88,245.59,314,-68.41,-0.2179,0.2179
DJ502890_3,US SD L桌带洞洞铁皮带排插  一件一箱 颜色->黑色,ALL,AMAZON,B,T2,369.09,267.48,310,-42.52,-0.1372,0.1372
DJ502988_4,US SD L桌带两层网书架 一件一箱 颜色->火烧云,ALL,AMAZON,B,T2,374.38,271.32,310,-38.68,-0.1248,0.1248
DJ503281,EU DC 欧标木质LED打砂镜柜双开门 80*16*60 白色 一件一箱,ALL,AMAZON,B,T3,428.46,408.75,309,99.75,0.3228,0.3228
DJ504085_2,US 单人L高桌5布抽低价款 一件一箱 颜色->黑麻,ALL,AMAZON,B,T2,365.42,264.82,308,-43.18,-0.1402,0.1402
DJ505135_2,US SD 1.6米单人升降桌带文件柜  一件两箱  颜色->黑麻+棕色,ALL,AMAZON,B,T2,304.96,260.01,307,-46.99,-0.1531,0.1531
DJ505124_2,US 美式升降可直排L桌 一件两箱 颜色->棕+黑,ALL,AMAZON,B,T2,385.37,328.57,306,22.57,0.0738,0.0738
DJ504867_2,US SD U型书架桌带三抽   一件一箱 颜色 颜色->黑色,ALL,AMAZON,B,T2,370.48,288.98,304,-15.02,-0.0494,0.0494
DJ503733_4,US DC 铁木床 CBF-01L 方管软包角落床带抽篮-112 灰 Q  一件一箱,ALL,AMAZON,B,T2,255.06,217.47,301,-83.54,-0.2775,0.2775
DJ505019_2,US DC 高架床 LLB-04  YL 私密堡垒储物款 T 尺寸 一件一箱 颜色->白色,ALL,AMAZON,B,T3,202.05,203.67,301,-97.33,-0.3234,0.3234
DJ505323_1,US 床GSI-005T带步梯双层2抽+6布抽床含灯带99*190一件两箱黑铁+火烧云板,ALL,AMAZON,A,T3,206.31,196.81,301,-104.19,-0.3461,0.3461
DJ504900_1,"US 床TB-2362F FB-儿童床-002  137*190 颜色->#1,米白色泰迪绒+杨木板",ALL,AMAZON,A,T4A,144.70,75.20,297,-221.80,-0.7468,0.7468
DJVN000013_3,"US AE 书柜（Vietnam）2抽屉板材带双灯 加高款 颜色->#2,黑色麻面",ALL,AMAZON,A,T2,449.99,326.11,291,35.11,0.1207,0.1207
DJ504993_1,UK DC 铁木床 CBF-01L 方管软包角落床带抽篮-153 90*190 灰色 一件一箱,ALL,AMAZON,C,T4B,64.71,34.79,289,-254.21,-0.8796,0.8796
DJ505621_1,US DC 炫酷软包床 BFCB-01 PU材质 床头下翻门 灯带插排 黑色 F改 一件一箱,ALL,AMAZON,B,T4A,82.33,42.79,286,-243.21,-0.8504,0.8504
SKDJ502530_1,US AE 书柜 三抽带储物空间加灯带插排 颜色->白色,ALL,TIKTOK,C,T3P,476.80,476.80,286,190.80,0.6671,0.6671
